Disease,Description,Symptoms ,Precautions,Medications,Diets
Hirschsprung disease,"A congenital condition resulting from the absence of nerve cells in part of the intestines, leading to severe constipation or intestinal obstruction.","Severe constipation, abdominal distension, poor feeding, growth failure in infants; older children may have fecal impaction.",Regular monitoring and follow-up; avoid foods that can cause constipation; consult with a healthcare provider for dietary guidance.,"Surgical intervention to remove the affected section of the bowel, supportive care for bowel management.",A high-fiber diet to promote bowel movement; stay hydrated; consult with a dietitian for specific guidance on managing constipation.
Histoplasmosis,"An infection caused by the fungus Histoplasma capsulatum, often found in bird droppings and bat caves, which can affect the lungs and other organs.","Cough, fever, fatigue, chest pain, shortness of breath, skin lesions in severe cases.",Avoid areas known to harbor the fungus; wear masks when cleaning areas with bird or bat droppings.,"Antifungal medications (itraconazole, amphotericin B for severe cases).",A well-balanced diet to support immune function; focus on hydration; avoid high-sugar and processed foods that may impact overall health.
Horner's syndrome,"A rare condition resulting from damage to the sympathetic nerves of the face, leading to a classic triad of symptoms.","Drooping eyelid (ptosis), constricted pupil (miosis), lack of sweating on one side of the face (anhidrosis).",Seek prompt medical evaluation for underlying causes; manage any associated conditions.,Treatment of the underlying cause; supportive care for symptoms.,A balanced diet; maintain hydration; consider a diet that supports overall nerve health (rich in omega-3 fatty acids and antioxidants).
Hunter syndrome,"A rare genetic disorder caused by the deficiency of the enzyme iduronate-2-sulfatase, leading to the accumulation of glycosaminoglycans.","Developmental delays, coarse facial features, joint stiffness, enlarged organs, respiratory issues.",Regular medical follow-ups; management of symptoms and complications; avoid infections.,"Enzyme replacement therapy (idursulfase), supportive therapies for symptoms.",A well-balanced diet to support overall health; focus on nutrient-dense foods; consult with a healthcare provider for specific dietary guidance.
Hurler syndrome,"A genetic disorder caused by the deficiency of the enzyme alpha-L-iduronidase, leading to the accumulation of glycosaminoglycans and affecting multiple organ systems.","Developmental delays, coarse facial features, enlarged organs, respiratory issues, hearing loss, skeletal abnormalities.",Regular medical monitoring; management of complications; consider genetic counseling for family planning.,"Enzyme replacement therapy (laronidase), hematopoietic stem cell transplant in severe cases.",A balanced diet to support overall health; focus on nutrient-dense foods; consider supplements as advised by a healthcare provider.
Hyper IgM syndrome,"A genetic immunodeficiency disorder characterized by the inability to produce immunoglobulin G (IgG) and immunoglobulin A (IgA), leading to increased susceptibility to infections.","Frequent infections, particularly respiratory and gastrointestinal; enlarged lymph nodes; autoimmune symptoms.",Regular medical monitoring; vaccinations as advised; maintain hygiene to reduce infection risk.,"Immunoglobulin replacement therapy, prophylactic antibiotics for infection prevention.",A well-balanced diet to support immune function; focus on hydration; avoid processed foods that may affect overall health.
Hyperaldosteronism,"A condition characterized by excessive production of aldosterone by the adrenal glands, leading to hypertension and electrolyte imbalances.","High blood pressure, low potassium levels (muscle weakness, fatigue), frequent urination, headaches.",Regular monitoring of blood pressure and electrolytes; avoid excessive sodium intake.,"Medications to block aldosterone (spironolactone), surgical removal of adrenal tumors if present.","A low-sodium diet to help manage blood pressure; focus on potassium-rich foods (bananas, oranges) if not contraindicated; consult with a dietitian for specific dietary guidance."
Hypercalcemia,"A condition characterized by high levels of calcium in the blood, which can result from various medical conditions.","Nausea, vomiting, constipation, increased thirst and urination, muscle weakness, confusion.",Regular monitoring of calcium levels; avoid excessive calcium intake from supplements.,"Treatment of the underlying cause; hydration to dilute calcium levels; medications (bisphosphonates, calcitonin) in severe cases.",A balanced diet; consult with a healthcare provider about calcium intake; avoid high-calcium foods if levels are elevated; focus on overall nutrition to support health.
Hypercholesterolemia,"A condition characterized by high levels of cholesterol in the blood, which can increase the risk of heart disease.","Often asymptomatic but can lead to cardiovascular symptoms (chest pain, shortness of breath) if severe.",Regular monitoring of cholesterol levels; avoid high-cholesterol and saturated-fat foods; maintain a healthy lifestyle.,"Statins, bile acid sequestrants, lifestyle modifications to lower cholesterol levels.","A heart-healthy diet: high in fruits, vegetables, whole grains, and lean proteins; low in saturated fats, trans fats, and added sugars. Incorporate healthy fats (avocado, nuts) in moderation."
Hyperemesis gravidarum,Severe nausea and vomiting during pregnancy.,"Extreme nausea, vomiting, dehydration, weight loss.","Rest, small frequent meals, hydration.","IV fluids, antiemetics (ondansetron), vitamins.","Bland diet, small meals, hydration (water, ginger tea)."
Hyperhidrosis,Excessive sweating not related to heat or exercise.,"Excessive sweating (palms, soles, armpits).","Avoid triggers (heat, stress), wear breathable fabrics.","Antiperspirants, botox injections, anticholinergics.","Hydration, avoid spicy foods, caffeine."
Hyperkalemia,High potassium levels in the blood.,"Fatigue, weakness, abnormal heart rhythm.","Monitor potassium intake, regular checkups.","Diuretics, potassium-binding agents.","Low-potassium diet (avoid bananas, potatoes)."
Hypokalemia,Low potassium levels in the blood.,"Weakness, fatigue, muscle cramps.","Potassium supplementation, avoid excessive diuretics.","Potassium supplements, potassium-sparing diuretics.","High-potassium foods (bananas, spinach, sweet potatoes)."
Hypomagnesemia,Low magnesium levels in the blood.,"Muscle cramps, weakness, irritability.","Adequate magnesium intake, avoid excess alcohol.","Magnesium supplements, IV magnesium in severe cases.","Magnesium-rich foods (nuts, seeds, leafy greens)."
Hypophosphatemia,Low phosphate levels in the blood.,"Muscle weakness, confusion, respiratory issues.","Adequate phosphate intake, avoid antacids.","Phosphate supplements, IV phosphate in severe cases.","Phosphate-rich foods (dairy, nuts, whole grains)."
Hypoplastic left heart syndrome,A congenital heart defect where the left side of the heart is underdeveloped.,"Rapid breathing, poor feeding, cyanosis.","Early diagnosis, frequent monitoring, surgery planning","Surgery (Norwood procedure), heart transplant.","High-calorie diet for infants, supplemental feeding."
Idiopathic intracranial hypertension,Increased pressure around the brain with no known cause.,"Headache, vision problems, nausea.","Regular eye exams, weight management.","Diuretics (acetazolamide), lumbar puncture.","Low-sodium diet, maintain healthy weight."
Idiopathic pulmonary fibrosis,Chronic lung disease causing lung tissue scarring.,"Shortness of breath, dry cough, fatigue.","Avoid smoking, exposure to lung irritants.","Antifibrotic drugs (pirfenidone), oxygen therapy.","Balanced diet, high-protein foods, avoid processed foods."
Idiopathic thrombocytopenic purpura,Immune disorder causing low platelet levels.,"Easy bruising, bleeding gums, nosebleeds.","Avoid blood-thinning medications, monitor bruising.","Corticosteroids, immunoglobulins, splenectomy in severe cases.","Iron-rich foods, balanced diet to support overall health."
Infective endocarditis,Infection of the heart valves or inner lining of the heart.,"Fever, chills, heart murmur, fatigue.","Maintain oral hygiene, avoid IV drug use.","Antibiotics, surgery for damaged heart valves.","Balanced diet, limit alcohol, adequate hydration."
Insulinoma,A tumor in the pancreas that produces excess insulin.,"Hypoglycemia, sweating, dizziness, confusion.","Frequent blood glucose monitoring, avoid fasting.","Surgical removal, medications like diazoxide.","Frequent, small meals, include protein and healthy fats."
Ischemic colitis,Inflammation and injury of the colon due to reduced blood flow.,"Abdominal pain, diarrhea, rectal bleeding.","Avoid smoking, stay hydrated, manage heart health.","IV fluids, antibiotics, surgery in severe cases.","High-fiber diet, hydration, avoid fatty foods."
Jackson-Weiss syndrome,Genetic disorder affecting skull and feet.,"Skull malformations, broad toes.",Regular monitoring of development.,Surgery for skeletal deformities.,Balanced diet to support overall health.
Juvenile idiopathic arthritis,Chronic arthritis in children.,"Joint swelling, pain, stiffness.","Exercise, avoid joint strain.","NSAIDs, corticosteroids, DMARDs.","Anti-inflammatory diet (fish, fruits, veggies)."
Keratoconus,Thinning and bulging of the cornea.,"Blurred vision, sensitivity to light.","Avoid eye rubbing, protect eyes.","Glasses, contact lenses, corneal cross-linking.","Nutrient-rich diet, particularly antioxidants (green leafy vegetables)."
Kernicterus,Brain damage due to high bilirubin in newborns.,"Yellow skin, poor feeding, lethargy.",Early treatment of jaundice.,"Phototherapy, exchange transfusion.","Breastfeeding, frequent feedings."
Kienbock's disease,Loss of blood supply to the lunate bone in the wrist.,"Wrist pain, stiffness, swelling.",Avoid repetitive wrist movements.,"NSAIDs, surgery.","Balanced diet to support bone health (calcium, vitamin D)."
Kluver-Bucy syndrome,Rare brain disorder due to damage to the temporal lobes.,"Compulsive eating, hypersexuality, memory loss.","Safe environment, monitor behavior.","Antipsychotics, anticonvulsants.","Well-balanced diet, avoid triggers for compulsive eating."
Krabbe disease,Rare genetic disorder affecting nervous system.,"Irritability, developmental delay, muscle weakness.","Genetic counseling, early diagnosis.","Stem cell transplants, supportive care.","Nutrient-dense, soft foods for ease of swallowing."
Lambert-Eaton myasthenic syndrome,Autoimmune disorder affecting nerve-muscle communication.,"Muscle weakness, dry mouth, drooping eyelids.","Avoid triggers, regular physical therapy.","Immunosuppressants, plasmapheresis.",Balanced diet to maintain muscle strength.
Langerhans cell histiocytosis,Rare disorder causing excessive production of Langerhans cells.,"Skin rashes, bone pain, swollen lymph nodes.","Regular monitoring, avoid injury.","Chemotherapy, steroids.","Healthy, nutrient-dense diet to support immune function."
Laryngomalacia,Congenital softening of the larynx in infants.,"Noisy breathing, difficulty feeding.","Upright feeding, small frequent meals.","Observation, surgery in severe cases.","Adequate nutrition for growth, breastfeeding or formula."
Lennox-Gastaut syndrome,Severe childhood epilepsy.,"Seizures, developmental delay.","Seizure precautions, avoid triggers.","Anti-seizure medications, ketogenic diet.","Ketogenic diet (high fat, low carb)."
Lichen planus,Inflammatory skin condition.,"Itchy, flat-topped bumps on skin, mouth sores.","Avoid triggers, maintain skin hygiene.","Topical corticosteroids, antihistamines.","Anti-inflammatory diet, avoid spicy/acidic foods."
Liddle syndrome,A rare genetic disorder causing increased blood pressure due to excessive sodium retention.,"High blood pressure, low potassium levels, muscle weakness.","Monitor blood pressure, potassium levels; avoid excess salt intake.","Potassium-sparing diuretics, antihypertensives.","Low-sodium diet, increase potassium-rich foods (e.g., bananas, spinach)."
Lipoid proteinosis,A rare inherited disorder characterized by deposits of lipids and proteins in the skin and mucous membranes.,"Hoarse voice, skin scarring, difficulty breathing.","Protect skin from trauma, avoid harsh skincare products.","No specific medications, supportive care for symptoms (e.g., corticosteroids).",No specific diet. Focus on overall nutrition and hydration.
Lissencephaly,"A rare brain malformation due to abnormal neuronal migration, leading to a smooth brain surface.","Developmental delays, seizures, muscle spasms.","Early intervention therapies, supportive care.",Antiepileptic drugs for seizure management.,Balanced diet with nutrient-rich foods to support overall health.
Long QT syndrome,"A heart rhythm disorder that can cause fast, chaotic heartbeats, sometimes leading to fainting or sudden death.","Fainting, arrhythmias, palpitations.","Avoid stress, strenuous exercise, and medications that prolong QT interval.","Beta-blockers, anti-arrhythmic drugs, implantable cardioverter-defibrillator (ICD) in severe cases.","Heart-healthy diet, avoid stimulant foods like caffeine."
Lupus nephritis,An inflammation of the kidneys caused by systemic lupus erythematosus (SLE).,"Swelling in legs/feet, high blood pressure, foamy urine.","Regular kidney function tests, manage lupus triggers.","Immunosuppressants, corticosteroids, ACE inhibitors.","Low-sodium, low-protein, and low-potassium diet."
Lymphangioleiomyomatosis,"A rare lung disease affecting women, where abnormal muscle cells grow in the lungs and lymph nodes.","Shortness of breath, chest pain, frequent lung infections.","Regular lung function tests, avoid smoking.","mTOR inhibitors (e.g., sirolimus), bronchodilators.","Balanced diet with focus on anti-inflammatory foods (fruits, vegetables, whole grains)."
Lymphocytic colitis,A type of inflammatory bowel disease (IBD) causing chronic diarrhea.,"Watery diarrhea, abdominal cramps, fatigue.","Avoid NSAIDs, reduce triggers like caffeine, lactose, and fatty foods.","Anti-inflammatory drugs, antidiarrheal medications.","Low-fat, lactose-free, and low-fiber diet to reduce diarrhea symptoms."
Lymphogranuloma venereum,"A severe reaction to certain drugs used during anesthesia, causing a rapid rise in body temperature and severe muscle contractions.","High fever, muscle stiffness, dark urine, rapid heart rate.",Inform anesthesiologist of condition before surgery; carry medical ID bracelet.,"Dantrolene, supportive care during surgery.",No specific diet. Maintain balanced nutrition.
Malignant hyperthermia,"A genetic disorder where the body is unable to break down certain amino acids, leading to toxic buildup.","Sweet-smelling urine, poor feeding, vomiting, lethargy.","Early diagnosis and dietary management, avoid foods high in branched-chain amino acids (BCAAs).","Specialized formula low in BCAAs, thiamine supplements.","Strict avoidance of foods high in BCAAs (e.g., meat, dairy)."
Maple syrup urine disease,A rare muscle disorder where the body is unable to break down glycogen for energy during exercise.,"Muscle cramps, fatigue, dark urine after exercise.","Avoid strenuous exercise, gradual warm-ups before activity.",No specific medications; exercise modification and supportive therapy.,"High-protein, low-carb diet; ensure adequate hydration."
McArdle disease,A serious infection of the mediastinum (the central part of the chest) often occurring after heart surgery.,"Chest pain, fever, shortness of breath.","Regular wound care post-surgery, early detection.","Broad-spectrum antibiotics, surgery in severe cases.",No specific diet. Focus on nutrition to support recovery.
Mediastinitis,"A neurological movement disorder causing involuntary muscle contractions, particularly in the face.","Eye twitching, facial grimacing, difficulty speaking.","Avoid triggers like stress, fatigue; get adequate sleep.","Botulinum toxin injections, oral medications (e.g., anticholinergics).","Balanced diet, ensure hydration and avoid caffeine or alcohol if they trigger symptoms."
Meige syndrome,A rare neurological disorder characterized by involuntary muscle contractions affecting the face and neck.	,"Involuntary muscle contractions, excessive blinking, facial grimacing, jaw clenching, neck movements.","Stress management, avoid triggers like bright lights, regular eye exams.","Corticosteroids, immunosuppressants, surgical decompression in severe cases.","No specific diet, but balanced nutrition can support overall health."
Melkersson-Rosenthal syndrome,"A rare neurological disorder that involves recurring facial paralysis, swelling, and a fissured tongue.","Facial swelling, facial paralysis, fissured tongue.","Regular dental and oral care, stress management, avoid facial injuries.","Corticosteroids, nonsteroidal anti-inflammatory drugs (NSAIDs), immunosuppressants.","Anti-inflammatory diet, avoid processed foods, increase intake of omega-3 fatty acids (e.g., fish, flaxseeds)."
Menetrier disease,"A rare condition involving overgrowth of the stomach lining, leading to protein loss and digestive issues.","Severe stomach pain, nausea, vomiting, weight loss, swelling of the abdomen, protein loss.","Avoid alcohol, regular monitoring, avoid NSAIDs, manage stress.","Proton pump inhibitors, anticholinergics, monoclonal antibody therapy (cetuximab).","High-protein diet, small frequent meals, avoid spicy and acidic foods, include easily digestible foods."
Menkes disease,"A genetic disorder affecting copper levels in the body, leading to developmental issues and neurological degeneration.","Kinky hair, failure to thrive, developmental delay, hypotonia, seizures, progressive neurodegeneration.","Genetic counseling, early diagnosis, regular monitoring of growth and development.","Copper injections, supportive care, anticonvulsants for seizures.","Nutrient-rich diet, ensure adequate intake of vitamins and minerals, avoid copper-deficient foods."
Metachromatic leukodystrophy,"A genetic disorder causing the progressive destruction of white matter in the brain, leading to neurological decline.","Muscle weakness, difficulty walking, seizures, vision and hearing loss, developmental regression.","Genetic counseling, early intervention, physical therapy, occupational therapy.","Bone marrow transplant, enzyme replacement therapy, symptomatic treatment for seizures and spasticity.","Balanced diet, high in antioxidants, ensure proper hydration, consider omega-3 supplements for neurological support."
Microscopic colitis,A chronic inflammatory condition of the colon that causes persistent diarrhea.,"Chronic, non-bloody diarrhea, abdominal pain, cramping, weight loss, fatigue.","Avoid NSAIDs, manage stress, avoid trigger foods, maintain hydration.","Anti-inflammatory medications (budesonide), antidiarrheals, immune modulators.","Low-fat diet, avoid caffeine and alcohol, lactose-free diet, small frequent meals, avoid gluten if sensitive."
Mitochondrial myopathy,"A group of neuromuscular diseases caused by damage to the mitochondria, leading to muscle weakness and other systemic symptoms.","Muscle weakness, exercise intolerance, fatigue, heart problems, hearing loss, breathing difficulties.","Avoid heavy exercise, manage stress, regular check-ups for heart and respiratory functions.","Supportive therapies (e.g., physical therapy), Coenzyme Q10 supplements, antioxidants.","High-protein diet, frequent small meals, avoid fasting, ensure adequate vitamin intake (especially B vitamins and CoQ10)."
Abscess,A collection of pus that has built up within the tissue of the body due to an infection.,"Painful, swollen area of skin, redness, warmth, pus drainage, fever.","Good hygiene, avoid squeezing or popping the abscess, keep the area clean, seek medical attention for large or persistent abscesses.","Antibiotics, drainage procedure, pain relief medications.","Balanced diet, adequate hydration, increase intake of foods that support the immune system (e.g., fruits, vegetables, lean proteins)."
Achilles tendinitis,"Inflammation of the Achilles tendon, often due to overuse or injury.","Heel pain, stiffness, swelling, tenderness, pain that worsens with activity.","Proper footwear, stretching before exercise, avoid sudden increases in activity level.","NSAIDs, corticosteroid injections, physical therapy, rest.","Anti-inflammatory diet, increase intake of omega-3 fatty acids, avoid processed and sugary foods, hydrate well."
Acoustic neuroma,"A non-cancerous tumor on the main nerve leading from the inner ear to the brain, affecting hearing and balance.","Hearing loss, tinnitus (ringing in the ears), balance issues, dizziness, facial numbness.","Regular hearing tests, avoid loud noises, early intervention for hearing and balance issues.","Surgical removal, radiation therapy, observation in slow-growing cases.","Balanced diet, adequate hydration, limit caffeine and salt to reduce symptoms of tinnitus and dizziness."
Actinic keratosis,"Rough, scaly patches on the skin caused by sun exposure, which can potentially develop into skin cancer.","Rough, scaly skin patches, itching, burning, sensitive skin, lesion that doesn’t heal.","Sun protection, regular skin exams, avoid tanning beds.","Cryotherapy, topical medications (e.g., 5-fluorouracil), laser therapy.","Antioxidant-rich diet, increase intake of vitamin C and E, avoid excessive sun exposure, stay hydrated."
Adenomyosis,"A condition where the inner lining of the uterus breaks through the muscle wall, causing heavy periods and pelvic pain.","Heavy menstrual bleeding, severe cramping, bloating, pelvic pain, pain during intercourse.","Regular gynecological check-ups, manage menstrual pain with heat therapy, maintain a healthy weight.","NSAIDs, hormonal therapies (e.g., birth control), surgery in severe cases.","Anti-inflammatory diet, avoid processed foods, increase intake of fruits, vegetables, and omega-3 fatty acids, consider a low-estrogen diet."
Adrenal insufficiency (Addison's disease),"A condition where the adrenal glands do not produce enough hormones, leading to various systemic symptoms.","Fatigue, weight loss, low blood pressure, darkening of the skin, salt cravings, muscle weakness.","Regular medication adherence, manage stress, avoid sudden discontinuation of steroids.","Corticosteroids (e.g., hydrocortisone), mineralocorticoids (e.g., fludrocortisone), salt supplements.","High-sodium diet during hot weather, balanced diet with adequate protein, ensure regular meal times, avoid fasting."
Allergic rhinitis (Hay fever),"An allergic response to airborne substances such as pollen, causing nasal and sinus symptoms.	","Sneezing, runny nose, itchy eyes, congestion, cough, fatigue.","Avoid allergens, use air purifiers, keep windows closed during high pollen seasons.","Antihistamines, nasal corticosteroids, decongestants, immunotherapy.","Anti-inflammatory diet, increase intake of fruits and vegetables, avoid dairy if it exacerbates symptoms, stay hydrated."
Anal fissure,"A small tear in the lining of the anus, often caused by passing hard or large stools.","Sharp pain during bowel movements, blood in the stool, itching or irritation around the anus.","Prevent constipation, maintain good anal hygiene, avoid straining during bowel movements.","Stool softeners, topical anesthetics, sitz baths, fiber supplements.","High-fiber diet, adequate hydration, avoid spicy and acidic foods, increase intake of fruits and vegetables."
Ankylosing spondylitis,"A type of arthritis that primarily affects the spine, leading to inflammation, pain, and possible fusion of the vertebrae.","Chronic back pain, stiffness, reduced flexibility, fatigue, pain in hips and shoulders.","Regular exercise, good posture, physical therapy, avoid smoking.","NSAIDs, TNF blockers, physical therapy, corticosteroids.","Anti-inflammatory diet, avoid processed foods, increase intake of omega-3 fatty acids, ensure adequate calcium and vitamin D intake."
Aortic aneurysm,"An abnormal bulge in the wall of the aorta, which can lead to life-threatening rupture if not treated.","Chest pain, back pain, shortness of breath, difficulty swallowing, hoarseness, pulsating sensation in the abdomen.","Regular blood pressure monitoring, avoid heavy lifting, quit smoking, manage cholesterol levels.","Beta-blockers, statins, surgery for larger aneurysms, blood pressure medications.","Low-cholesterol diet, high in fruits, vegetables, and whole grains, avoid high-sodium foods, maintain a healthy weight."
Aortic dissection,"A serious condition where the inner layer of the aorta tears, causing blood to flow between the layers of the aorta wall.","Severe chest pain, back pain, shortness of breath, fainting, difficulty speaking, stroke-like symptoms, weak pulse.","Control blood pressure, avoid strenuous activities, regular monitoring of heart health.","Beta-blockers, calcium channel blockers, surgery (for severe cases).","Low-sodium diet, avoid fatty and processed foods, high-fiber diet to maintain heart health, include omega-3 fatty acids (e.g., fish, flaxseeds)."
Arrhythmia,"An irregular heartbeat that may be too fast, too slow, or erratic, disrupting the heart’s ability to pump blood effectively.","Palpitations, dizziness, fainting, shortness of breath, chest pain, fatigue.","Regular heart monitoring, avoid stimulants (e.g., caffeine), manage stress.","Beta-blockers, calcium channel blockers, antiarrhythmics, blood thinners, pacemaker.","Heart-healthy diet, low in sodium and cholesterol, rich in fruits, vegetables, and whole grains, limit alcohol intake."
Arthropathy,"A general term for joint diseases, including conditions like osteoarthritis and rheumatoid arthritis, leading to pain and stiffness in the joints.","Joint pain, swelling, stiffness, reduced range of motion, fatigue, weakness.","Maintain healthy weight, regular exercise, avoid joint strain, manage stress.","NSAIDs, corticosteroids, disease-modifying antirheumatic drugs (DMARDs), biologics.","Anti-inflammatory diet, rich in omega-3 fatty acids, avoid processed and sugary foods, include calcium and vitamin D for bone health."
Asbestosis,"A chronic lung disease caused by inhaling asbestos fibers, leading to lung scarring and respiratory issues.","Shortness of breath, dry cough, chest tightness, finger clubbing, fatigue, weight loss.","Avoid further asbestos exposure, use respiratory protection, quit smoking.","Oxygen therapy, bronchodilators, pulmonary rehabilitation, corticosteroids (in severe cases).","Balanced diet, high in antioxidants, include lean proteins, fruits, vegetables, avoid smoking and alcohol, stay hydrated."
Aspiration pneumonia,"A lung infection caused by inhaling food, liquid, or vomit into the lungs instead of the stomach, leading to inflammation.","Cough, chest pain, shortness of breath, fever, fatigue, difficulty swallowing.","Practice proper swallowing techniques, avoid lying down after eating, maintain good oral hygiene.","Antibiotics, oxygen therapy, fluids, pain relievers, breathing treatments (if needed).","Soft foods to prevent choking, avoid alcohol, small frequent meals, include immune-boosting foods (e.g., fruits, vegetables)."
Ataxia,"A neurological disorder affecting coordination, balance, and speech, often resulting from damage to the cerebellum.","Poor coordination, difficulty walking, slurred speech, tremors, difficulty swallowing.","Physical therapy, speech therapy, regular neurological monitoring, avoid alcohol.","Symptomatic treatment, physical therapy, occupational therapy, genetic counseling for hereditary ataxia.","Balanced diet, ensure proper hydration, include omega-3 fatty acids, maintain a diet high in antioxidants (e.g., fruits, vegetables, nuts)."
Atrial flutter,"A type of arrhythmia where the upper chambers of the heart beat rapidly, causing a fast and irregular heart rate.","Palpitations, shortness of breath, dizziness, fatigue, chest pain, fainting.","Avoid alcohol and caffeine, maintain a healthy weight, manage stress.","Blood thinners, antiarrhythmics, beta-blockers, calcium channel blockers, catheter ablation.","Heart-healthy diet, rich in whole grains, fruits, vegetables, and omega-3s, limit salt and processed foods, avoid excessive alcohol."
Autism spectrum disorder (ASD),"A developmental disorder that affects communication, behavior, and social interaction, with a wide range of severity.","Difficulty with social interaction, repetitive behaviors, communication challenges, sensory sensitivities.","Early intervention, regular developmental screening, therapy to enhance communication and social skills.","Behavioral therapy, speech therapy, occupational therapy, medications (e.g., for anxiety, hyperactivity, or depression).","Balanced diet, ensure adequate vitamins and minerals, consider gluten and casein-free diets (for some cases), small frequent meals to support energy levels."
Bacterial meningitis,"A life-threatening infection of the protective membranes covering the brain and spinal cord, typically caused by bacteria.","High fever, severe headache, stiff neck, sensitivity to light, confusion, vomiting, seizures.","Vaccinations, avoid contact with infected individuals, maintain proper hygiene, regular health check-ups.","Intravenous antibiotics, corticosteroids, fluids, pain relievers.","Adequate hydration, small frequent meals, include immune-boosting foods (e.g., fruits, vegetables, lean proteins)."
Baker’s cyst,"A fluid-filled cyst behind the knee caused by swelling and inflammation, often due to arthritis or injury.","Swelling behind the knee, pain, stiffness, limited range of motion, visible bulge.","Avoid excessive knee strain, maintain healthy weight, physical therapy.","NSAIDs, corticosteroid injections, aspiration of the cyst, surgery in severe cases.","Anti-inflammatory diet, rich in omega-3s, avoid processed foods, ensure adequate hydration, maintain a healthy weight."
Bartholin cyst,"A fluid-filled cyst in the Bartholin glands, located on either side of the vaginal opening, often caused by a blockage in the duct.","Pain, swelling, discomfort during sitting or walking, painful intercourse, fever (if infected).","Maintain proper genital hygiene, avoid tight-fitting clothing, use sitz baths.","Antibiotics (if infected), sitz baths, drainage, surgical removal in recurrent cases.","Balanced diet, adequate hydration, include foods rich in vitamin C to support immune health, avoid excessive sugar intake to reduce infection risk."
Biliary dyskinesia,"A functional disorder where bile does not flow properly from the gallbladder, causing digestive issues.","Upper abdominal pain, nausea, bloating, indigestion, intolerance to fatty foods.","Avoid fatty and fried foods, regular monitoring, maintain a healthy weight.","Cholecystectomy (surgical removal of gallbladder), pain relief medications.","Low-fat diet, small frequent meals, avoid spicy and greasy foods, increase intake of fiber-rich foods (e.g., fruits, vegetables)."
Bone spurs,"Bony growths that develop on the edges of bones, often as a result of arthritis or wear and tear.","Joint pain, stiffness, limited range of motion, swelling, numbness or tingling if pressing on nerves.","Maintain healthy weight, proper posture, regular exercise, avoid joint overuse.","NSAIDs, corticosteroid injections, physical therapy, surgery in severe cases.","Anti-inflammatory diet, rich in omega-3s, avoid processed foods, ensure adequate calcium and vitamin D intake for bone health."
Botulism,"A rare but serious illness caused by a toxin produced by the bacterium Clostridium botulinum, leading to muscle paralysis.","Muscle weakness, difficulty breathing, trouble swallowing, blurred vision, dry mouth, slurred speech.","Avoid consuming improperly preserved or canned foods, practice good hygiene with wounds, seek immediate care for suspicious symptoms.","Antitoxins, mechanical ventilation for breathing difficulties, supportive care.","Small, frequent meals, avoid alcohol, adequate hydration, include easily digestible and soft foods as muscle weakness improves."
BPPV (Benign paroxysmal positional vertigo),A condition that causes brief episodes of dizziness when moving the head in certain positions due to displaced crystals in the inner ear.,"Dizziness, lightheadedness, loss of balance, nausea, vomiting.","Avoid sudden head movements, sleep with elevated head, use caution when changing positions.","Epley maneuver (physical therapy), anti-nausea medications (if needed).","Balanced diet, avoid excessive salt and caffeine (may worsen dizziness), stay hydrated, small frequent meals to avoid nausea."
Brachial plexus injury,"Damage to the brachial plexus, a network of nerves that send signals from the spinal cord to the shoulder, arm, and hand, often due to trauma or pressure.","Weakness in the arm or hand, numbness, tingling, burning sensation, limited range of motion.","Avoid strenuous activities, proper posture, physical therapy.","Pain relievers, physical therapy, surgery for severe cases.","Balanced diet, adequate hydration, include foods rich in vitamins B6 and B12 for nerve health, avoid alcohol and smoking."
Bradycardia,"A slower-than-normal heart rate, which can cause insufficient blood flow to the organs.","Fatigue, dizziness, shortness of breath, fainting, chest pain, confusion.","Avoid excessive alcohol, caffeine, and smoking, regular heart monitoring, manage stress.","Pacemaker (in severe cases), beta-blockers, calcium channel blockers, antiarrhythmic medications.","Heart-healthy diet, low in sodium, rich in whole grains, fruits, vegetables, and omega-3 fatty acids, avoid excessive salt and processed foods."
Bronchopulmonary dysplasia,"A chronic lung disease most commonly seen in premature infants who require oxygen therapy, leading to difficulty breathing and lung development issues.","Rapid breathing, wheezing, coughing, difficulty feeding, frequent respiratory infections.","Minimize exposure to respiratory infections, regular follow-ups, avoid smoking.","Oxygen therapy, bronchodilators, corticosteroids, diuretics (to reduce fluid buildup).","High-calorie diet (for growth and energy needs), small frequent meals, adequate hydration, nutrient-dense foods to support lung health."
Bruxism (Teeth grinding),"A condition in which a person unconsciously grinds or clenches their teeth, often during sleep, leading to dental and jaw problems.","Jaw pain, headaches, worn-down teeth, ear pain, disrupted sleep, tooth sensitivity.","Stress management, use of a mouth guard, avoid caffeine and alcohol before bed.","Mouth guards, muscle relaxants (if needed), behavioral therapy, dental treatments for severe cases.","Avoid caffeine and alcohol, especially in the evening, hydrate well, include magnesium-rich foods (e.g., spinach, almonds) to help relax muscles."
Bunion (Hallux valgus),"A bony bump that forms on the joint at the base of the big toe, causing pain and misalignment of the toe.","Pain, swelling, redness, difficulty walking, restricted movement of the big toe.","Wear comfortable, well-fitting shoes, avoid high heels, use padding or splints.","NSAIDs, corticosteroid injections, surgery in severe cases.","Anti-inflammatory diet, avoid processed and sugary foods, maintain a healthy weight, include omega-3 fatty acids to reduce inflammation."
